ROI Label,input_roi,output_roi,mapped_indices
1,17Networks_LH_VisPeri_ExStrInf_1,7Networks_LH_Vis_1,6
2,17Networks_LH_VisCent_ExStr_1,7Networks_LH_Vis_2,0
3,17Networks_LH_DorsAttnA_TempOcc_2,7Networks_LH_Vis_3,29
4,17Networks_LH_VisPeri_ExStrInf_2,7Networks_LH_Vis_4,7
5,17Networks_LH_VisCent_ExStr_2,7Networks_LH_Vis_5,1
6,17Networks_LH_VisPeri_ExStrInf_3,7Networks_LH_Vis_6,8
7,17Networks_LH_VisCent_Striate_1,7Networks_LH_Vis_7,2
8,17Networks_LH_DorsAttnA_ParOcc_1,7Networks_LH_Vis_8,30
9,17Networks_LH_VisCent_ExStr_3,7Networks_LH_Vis_9,3
10,17Networks_LH_VisPeri_StriCal_1,7Networks_LH_Vis_10,9
11,17Networks_LH_VisCent_ExStr_4,7Networks_LH_Vis_11,4
12,17Networks_LH_VisPeri_ExStrSup_1,7Networks_LH_Vis_12,10
13,17Networks_LH_VisPeri_ExStrSup_2,7Networks_LH_Vis_13,11
14,17Networks_LH_VisCent_ExStr_5,7Networks_LH_Vis_14,5
15,17Networks_LH_SomMotB_Aud_1,7Networks_LH_SomMot_1,20
16,17Networks_LH_SomMotB_Aud_2,7Networks_LH_SomMot_2,21
17,17Networks_LH_SomMotB_S2_1,7Networks_LH_SomMot_3,22
18,17Networks_LH_SomMotB_S2_2,7Networks_LH_SomMot_4,23
19,17Networks_LH_SomMotB_S2_3,7Networks_LH_SomMot_5,25
20,17Networks_LH_SomMotB_Cent_1,7Networks_LH_SomMot_6,26
21,17Networks_LH_SomMotB_Cent_2,7Networks_LH_SomMot_7,27
22,17Networks_LH_SomMotA_1,7Networks_LH_SomMot_8,12
23,17Networks_LH_SomMotA_2,7Networks_LH_SomMot_9,13
24,17Networks_LH_SomMotA_3,7Networks_LH_SomMot_10,14
25,17Networks_LH_DorsAttnB_PostC_3,7Networks_LH_SomMot_11,36
26,17Networks_LH_SomMotA_4,7Networks_LH_SomMot_12,15
27,17Networks_LH_SomMotA_5,7Networks_LH_SomMot_13,16
28,17Networks_LH_SomMotA_6,7Networks_LH_SomMot_14,17
29,17Networks_LH_SomMotA_7,7Networks_LH_SomMot_15,18
30,17Networks_LH_SomMotA_8,7Networks_LH_SomMot_16,19
31,17Networks_LH_DorsAttnA_TempOcc_1,7Networks_LH_DorsAttn_Post_1,28
32,17Networks_LH_ContA_Temp_1,7Networks_LH_DorsAttn_Post_2,56
33,17Networks_LH_DorsAttnA_SPL_1,7Networks_LH_DorsAttn_Post_3,31
34,17Networks_LH_DorsAttnB_PostC_1,7Networks_LH_DorsAttn_Post_4,34
35,17Networks_LH_DorsAttnB_PostC_2,7Networks_LH_DorsAttn_Post_5,35
36,17Networks_LH_ContA_IPS_3,7Networks_LH_DorsAttn_Post_6,59
37,17Networks_LH_DorsAttnA_SPL_2,7Networks_LH_DorsAttn_Post_7,32
38,17Networks_LH_DorsAttnA_SPL_3,7Networks_LH_DorsAttn_Post_8,33
39,17Networks_LH_ContC_pCun_2,7Networks_LH_DorsAttn_Post_9,72
40,17Networks_LH_DorsAttnB_PostC_4,7Networks_LH_DorsAttn_Post_10,37
41,17Networks_LH_DorsAttnB_FEF_1,7Networks_LH_DorsAttn_FEF_1,38
42,17Networks_LH_ContA_PFCd_1,7Networks_LH_DorsAttn_FEF_2,60
43,17Networks_LH_ContA_PFCl_2,7Networks_LH_DorsAttn_PrCv_1,63
44,17Networks_LH_SomMotB_Aud_3,7Networks_LH_SalVentAttn_ParOper_1,24
45,17Networks_LH_SalVentAttnA_ParOper_1,7Networks_LH_SalVentAttn_ParOper_2,39
46,17Networks_LH_SalVentAttnB_IPL_1,7Networks_LH_SalVentAttn_ParOper_3,46
47,17Networks_LH_SalVentAttnA_Ins_1,7Networks_LH_SalVentAttn_FrOperIns_1,40
48,17Networks_LH_SalVentAttnB_Ins_1,7Networks_LH_SalVentAttn_FrOperIns_2,48
49,17Networks_LH_SalVentAttnA_FrOper_1,7Networks_LH_SalVentAttn_FrOperIns_3,41
50,17Networks_LH_SalVentAttnA_FrOper_2,7Networks_LH_SalVentAttn_FrOperIns_4,42
51,17Networks_LH_SalVentAttnB_PFCl_1,7Networks_LH_SalVentAttn_PFCl_1,47
52,17Networks_LH_SalVentAttnA_FrMed_1,7Networks_LH_SalVentAttn_Med_1,44
53,17Networks_LH_SalVentAttnA_ParMed_1,7Networks_LH_SalVentAttn_Med_2,43
54,17Networks_LH_SalVentAttnA_FrMed_2,7Networks_LH_SalVentAttn_Med_3,45
55,17Networks_LH_LimbicB_OFC_1,7Networks_LH_Limbic_OFC_1,50
